pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
Extracellular matrix organization	0.004347826086956522	0.05207657365347177	0.39320507136924904	1.7171030562707086	2	117	214639
Extracellular matrix organization	0.004347826086956522	0.05207657365347177	0.39320507136924904	1.7171030562707086	2	117	56693
Extracellular matrix organization	0.004347826086956522	0.05207657365347177	0.39320507136924904	1.7171030562707086	2	117	246707
Extracellular matrix organization	0.004347826086956522	0.05207657365347177	0.39320507136924904	1.7171030562707086	2	117	13518
Extracellular matrix organization	0.004347826086956522	0.05207657365347177	0.39320507136924904	1.7171030562707086	2	117	18451
Extracellular matrix organization	0.004347826086956522	0.05207657365347177	0.39320507136924904	1.7171030562707086	2	117	21803
Extracellular matrix organization	0.004347826086956522	0.05207657365347177	0.39320507136924904	1.7171030562707086	2	117	18453
Extracellular matrix organization	0.004347826086956522	0.05207657365347177	0.39320507136924904	1.7171030562707086	2	117	20971
Extracellular matrix organization	0.004347826086956522	0.05207657365347177	0.39320507136924904	1.7171030562707086	2	117	16423
G2 Phase	0.00390625	0.048227163461538464	0.9240166328953809	1.7808866894644664	1	4	12428
G2 Phase	0.00390625	0.048227163461538464	0.9240166328953809	1.7808866894644664	1	4	13555
G2 Phase	0.00390625	0.048227163461538464	0.9240166328953809	1.7808866894644664	1	4	13557
Gluconeogenesis	0.001718213058419244	0.0291934955800502	0.7349944334433877	2.3507311793505234	0	24	11676
Gluconeogenesis	0.001718213058419244	0.0291934955800502	0.7349944334433877	2.3507311793505234	0	24	21991
Gluconeogenesis	0.001718213058419244	0.0291934955800502	0.7349944334433877	2.3507311793505234	0	24	18648
Gluconeogenesis	0.001718213058419244	0.0291934955800502	0.7349944334433877	2.3507311793505234	0	24	18655
Gluconeogenesis	0.001718213058419244	0.0291934955800502	0.7349944334433877	2.3507311793505234	0	24	14433
Gluconeogenesis	0.001718213058419244	0.0291934955800502	0.7349944334433877	2.3507311793505234	0	24	11674
Gluconeogenesis	0.001718213058419244	0.0291934955800502	0.7349944334433877	2.3507311793505234	0	24	14385
Gluconeogenesis	0.001718213058419244	0.0291934955800502	0.7349944334433877	2.3507311793505234	0	24	13358
Gluconeogenesis	0.001718213058419244	0.0291934955800502	0.7349944334433877	2.3507311793505234	0	24	14751
Gluconeogenesis	0.001718213058419244	0.0291934955800502	0.7349944334433877	2.3507311793505234	0	24	14718
Gluconeogenesis	0.001718213058419244	0.0291934955800502	0.7349944334433877	2.3507311793505234	0	24	433182
Gluconeogenesis	0.001718213058419244	0.0291934955800502	0.7349944334433877	2.3507311793505234	0	24	74551
Gluconeogenesis	0.001718213058419244	0.0291934955800502	0.7349944334433877	2.3507311793505234	0	24	14719
Gluconeogenesis	0.001718213058419244	0.0291934955800502	0.7349944334433877	2.3507311793505234	0	24	67863
Glycolysis	0.0016207455429497568	0.0291934955800502	0.5771823917543902	2.14905909209959	0	48	11676
Glycolysis	0.0016207455429497568	0.0291934955800502	0.5771823917543902	2.14905909209959	0	48	21991
Glycolysis	0.0016207455429497568	0.0291934955800502	0.5771823917543902	2.14905909209959	0	48	18648
Glycolysis	0.0016207455429497568	0.0291934955800502	0.5771823917543902	2.14905909209959	0	48	15277
Glycolysis	0.0016207455429497568	0.0291934955800502	0.5771823917543902	2.14905909209959	0	48	18655
